county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Madison AL,372909,2.40,0.153,0.909,0.839,0.095,63417,0.119,417.7
Macon AL,18068,2.19,0.209,0.735,0.558,0.116,32074,0.302,35.2
Lowndes AL,9726,2.43,0.198,0.662,0.494,0.117,30833,0.251,15.8
Limestone AL,98915,2.81,0.152,0.858,0.766,0.109,56460,0.114,147.8
Lee AL,164542,2.58,0.124,0.903,0.803,0.105,48056,0.19,230.8
Lawrence AL,32924,2.57,0.191,0.76,0.592,0.139,44515,0.193,49.7
Dallas IA,93453,2.54,0.121,0.944,0.88,0.037,84790,0.052,112.4
Clinton IA,46429,2.35,0.199,0.826,0.759,0.052,50156,0.125,70.7
Clarke IA,9395,2.36,0.192,0.872,0.762,0.064,51571,0.112,21.5
Cherokee IA,11235,2.06,0.247,0.85,0.803,0.06,54658,0.094,20.9
Cedar IA,18627,2.40,0.203,0.864,0.783,0.045,65791,0.076,31.9
Boone IA,26234,2.35,0.19,0.898,0.784,0.045,61111,0.088,46.0
Humboldt IA,9558,2.24,0.221,0.825,0.75,0.064,52219,0.097,22.6
Hamilton IA,14773,2.36,0.21,0.841,0.744,0.055,56273,0.084,27.2
Floyd IA,15642,2.30,0.222,0.814,0.737,0.068,48110,0.114,32.6
Emmet IA,9208,2.10,0.216,0.837,0.727,0.071,48542,0.112,26.0
Dubuque IA,97311,2.42,0.183,0.885,0.811,0.045,61321,0.113,154.0
Des Moines IA,38967,2.31,0.212,0.844,0.749,0.049,49977,0.127,96.9
Marshall IA,39369,2.55,0.185,0.856,0.73,0.076,54027,0.113,71.0
Marion IA,33253,2.36,0.184,0.859,0.76,0.041,58492,0.092,60.1
Linn IA,226706,2.42,0.163,0.902,0.828,0.043,64862,0.094,294.6
Johnson IA,151140,2.39,0.123,0.944,0.877,0.057,61640,0.158,213.1
Jasper IA,37185,2.41,0.195,0.861,0.764,0.043,55727,0.102,50.4
Iowa IA,16184,2.34,0.193,0.874,0.738,0.043,58570,0.074,27.9
Montgomery AL,226486,2.45,0.156,0.859,0.774,0.122,47990,0.201,292.5
Monroe AL,20733,2.61,0.211,0.504,0.416,0.137,30141,0.219,22.5
Mobile AL,413210,2.60,0.166,0.825,0.722,0.131,46166,0.208,335.9
Marshall AL,96774,2.70,0.173,0.825,0.745,0.144,42490,0.183,164.4
Marion AL,29709,2.41,0.215,0.776,0.646,0.131,35392,0.202,41.5
Marengo AL,18863,2.48,0.199,0.674,0.531,0.106,32809,0.24,21.5
Russell AL,57961,2.53,0.148,0.825,0.662,0.12,40978,0.217,82.6
Randolph AL,22722,2.56,0.209,0.796,0.689,0.131,41449,0.197,39.5
Pike AL,33114,2.73,0.152,0.693,0.592,0.14,34678,0.236,48.9
Pickens AL,19930,2.49,0.195,0.729,0.628,0.122,37458,0.231,22.4
Perry AL,8923,2.82,0.201,0.559,0.462,0.117,23561,0.353,14.7
Morgan AL,119679,2.57,0.178,0.839,0.728,0.132,49751,0.132,206.3
Walker AL,63521,2.54,0.195,0.8,0.68,0.13,41748,0.179,84.7
Tuscaloosa AL,209355,2.71,0.138,0.865,0.78,0.101,52221,0.168,147.3
Tallapoosa AL,40367,2.43,0.223,0.798,0.7,0.118,43361,0.197,58.1
Talladega AL,79978,2.46,0.185,0.81,0.698,0.12,41012,0.193,111.7
Sumter AL,12427,2.40,0.187,0.708,0.579,0.134,23132,0.347,15.2
Shelby AL,217702,2.66,0.16,0.933,0.864,0.081,75761,0.08,248.5
