county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Sutter CA,96971,2.93,0.156,0.888,0.82,0.09,56955,0.135,157.3
Stanislaus CA,550660,3.09,0.134,0.899,0.828,0.071,57387,0.156,344.2
Sonoma CA,494336,2.60,0.207,0.931,0.871,0.082,76753,0.099,307.1
El Paso CO,720403,2.64,0.132,0.938,0.893,0.086,65334,0.099,292.6
Douglas CO,351154,2.79,0.124,0.98,0.955,0.039,115314,0.026,339.7
Denver CO,727211,2.31,0.119,0.918,0.837,0.103,63793,0.117,3,922.6
Broomfield CO,70465,2.46,0.143,0.968,0.923,0.051,89624,0.049,1,691.9
Boulder CO,326196,2.46,0.148,0.955,0.896,0.074,78642,0.097,405.6
Alamosa CO,16233,2.50,0.139,0.848,0.72,0.139,39191,0.191,21.4
Morgan CO,29068,2.58,0.156,0.851,0.788,0.129,51626,0.122,22.0
Montrose CO,42758,2.38,0.241,0.843,0.749,0.118,48739,0.116,18.4
Mesa CO,154210,2.40,0.197,0.904,0.837,0.102,53683,0.144,44.1
Larimer CO,356899,2.46,0.162,0.952,0.88,0.071,67664,0.105,115.4
Jefferson CO,582881,2.44,0.169,0.94,0.884,0.066,78943,0.07,699.5
Garfield CO,60061,2.73,0.138,0.927,0.834,0.139,72898,0.084,19.1
Litchfield CT,180333,2.43,0.22,0.904,0.851,0.053,78314,0.069,206.3
Hartford CT,891720,2.49,0.174,0.887,0.822,0.053,72321,0.112,1,216.2
Fairfield CT,943332,2.72,0.163,0.918,0.871,0.083,92969,0.1,1,467.2
Weld CO,324492,2.83,0.124,0.921,0.839,0.094,70908,0.105,63.4
Summit CO,31011,3.09,0.143,0.969,0.826,0.119,77589,0.067,46.0
Pueblo CO,168424,2.51,0.19,0.861,0.736,0.089,44634,0.172,66.7
Sussex DE,234225,2.42,0.287,0.877,0.785,0.091,60853,0.123,210.6
New Castle DE,558753,2.64,0.161,0.909,0.839,0.059,70996,0.116,1,263.2
Kent DE,180786,2.63,0.175,0.899,0.833,0.07,58775,0.138,276.9
New London CT,265206,2.39,0.188,0.899,0.849,0.055,71368,0.098,412.2
New Haven CT,854757,2.52,0.179,0.875,0.81,0.062,67128,0.116,1,426.7
Middlesex CT,162436,2.35,0.21,0.907,0.853,0.041,84761,0.067,448.6
Citrus FL,149657,2.24,0.367,0.878,0.806,0.153,41424,0.152,242.8
Charlotte FL,188910,2.28,0.408,0.892,0.822,0.159,49225,0.111,235.2
Broward FL,1952778,2.77,0.171,0.916,0.827,0.168,57333,0.126,1,444.9
Brevard FL,601942,2.49,0.242,0.908,0.849,0.134,54359,0.11,535.0
Bay FL,174705,2.57,0.186,0.899,0.826,0.15,51829,0.134,222.6
Alachua FL,269043,2.54,0.146,0.908,0.837,0.116,49078,0.198,282.7
Glades FL,13811,2.71,0.276,0.702,0.552,0.259,39879,0.201,16.0
