"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
82460,"Utah","2020-03-18",567,0,0,0,0,0,0,0.050296944607182,0.050296944607182,0.050296944607182,0.185664164089517,0.185664164089517,0.185664164089517,"observed",-28.09976,"observed",475.352593340168,0,,,
82461,"Utah","2020-03-19",567,0,0,0,0,0,0,0.066151396869939,0.066151396869939,0.066151396869939,0.251815560959456,0.251815560959456,0.251815560959456,"observed",-31.34726,"observed",571.109615805404,29,,,
82462,"Utah","2020-03-20",567,0,0,0,0,0,0,0.086041732369944,0.086041732369944,0.086041732369944,0.3378572933294,0.3378572933294,0.3378572933294,"observed",-34.11515,"observed",672.807038570579,0,,,
82463,"Utah","2020-03-21",567,0,0,0,0,0,0,0.110650968958185,0.110650968958185,0.110650968958185,0.448508262287585,0.448508262287585,0.448508262287585,"observed",-36.40115,"observed",780.913925035603,57.9999999999999,,,
82464,"Utah","2020-03-22",567,1,1,1,1,1,1,0.140660502318516,0.140660502318516,0.140660502318516,0.589168764606101,0.589168764606101,0.589168764606101,"observed",-38.25123,"observed",895.809115869805,26,,,
82465,"Utah","2020-03-23",567,0,0,0,1,1,1,0.17670774938892,0.17670774938892,0.17670774938892,0.765876513995021,0.765876513995021,0.765876513995021,"observed",-39.73348,"observed",1017.19136303454,94.9999999999999,,,
82466,"Utah","2020-03-24",567,0,0,0,1,1,1,0.21932244174795,0.21932244174795,0.21932244174795,0.985198955742971,0.985198955742971,0.985198955742971,"observed",-40.92012,"observed",1144.15538410911,41.0000000000005,,,
82467,"Utah","2020-03-25",567,0,0,0,1,1,1,0.268840151810919,0.268840151810919,0.268840151810919,1.25403910755389,1.25403910755389,1.25403910755389,"observed",-41.87963,"observed",1275.72310151422,41.9999999999998,,,
82468,"Utah","2020-03-26",567,0,0,0,1,1,1,0.32533301795906,0.32533301795906,0.32533301795906,1.57937212551295,1.57937212551295,1.57937212551295,"observed",-42.67283,"observed",1411.31474204239,56.0000000000002,,,
82469,"Utah","2020-03-27",567,0,0,0,1,1,1,0.38853547123796,0.38853547123796,0.38853547123796,1.96790759675091,1.96790759675091,1.96790759675091,"observed",-43.35041,"observed",1550.74196383054,75.9999999999995,,,
82470,"Utah","2020-03-28",567,0,0,0,1,1,1,0.45780380528831,0.45780380528831,0.45780380528831,2.42571140203922,2.42571140203922,2.42571140203922,"observed",-43.95136,"observed",1693.62090142801,130,,,
82471,"Utah","2020-03-29",567,1,1,1,2,2,2,0.53213013867756,0.53213013867756,0.53213013867756,2.95784154071678,2.95784154071678,2.95784154071678,"observed",-44.50075,"observed",1838.35206006499,118,,,
82472,"Utah","2020-03-30",567,2,2,2,4,4,4,0.61018229160929,0.61018229160929,0.61018229160929,3.56802383232607,3.56802383232607,3.56802383232607,"observed",-45.00757,"observed",1980.93973891543,77.9999999999994,,,
82473,"Utah","2020-03-31",567,1,1,1,5,5,5,0.69036574636295,0.69036574636295,0.69036574636295,4.25838957868902,4.25838957868902,4.25838957868902,"observed",-45.46903,"observed",2114.08569369643,90.0000000000013,,,
82474,"Utah","2020-04-01",567,2,2,2,7,7,7,0.770869310441411,0.770869310441411,0.770869310441411,5.02925888913043,5.02925888913043,5.02925888913043,"observed",-45.87503,"observed",2227.28339803376,123.999999999999,,,
82475,"Utah","2020-04-02",567,0,0,0,7,7,7,0.84988516020737,0.84988516020737,0.84988516020737,5.8791440493378,5.8791440493378,5.8791440493378,"observed",-46.21183,"observed",2308.68044411943,80,,,
82476,"Utah","2020-04-03",567,0,0,0,7,7,7,0.92581082578692,0.92581082578692,0.92581082578692,6.80495487512472,6.80495487512472,6.80495487512472,"observed",-46.46686,"observed",2348.77881302475,163,,,
82477,"Utah","2020-04-04",567,1,1,1,8,8,8,0.997343247909081,0.997343247909081,0.997343247909081,7.8022981230338,7.8022981230338,7.8022981230338,"observed",-46.63415,"observed",2344.62100828544,180,,,
82478,"Utah","2020-04-05",567,0,0,0,8,8,8,1.06351526780781,1.06351526780781,1.06351526780781,8.86581339084161,8.86581339084161,8.86581339084161,"observed",-46.71678,"observed",2302.23134631875,173,,,
82479,"Utah","2020-04-06",567,5,5,5,13,13,13,1.12368678612758,1.12368678612758,1.12368678612758,9.98950017696919,9.98950017696919,9.98950017696919,"observed",-46.72658,"observed",2235.82030669144,76.9999999999995,,,
82480,"Utah","2020-04-07",567,0,0,0,13,13,13,1.17751852048581,1.17751852048581,1.17751852048581,11.167018697455,11.167018697455,11.167018697455,"observed",-46.68309,"observed",2164.26592328014,61.0000000000011,,,
82481,"Utah","2020-04-08",567,0,0,0,13,13,13,1.2249503530421,1.2249503530421,1.2249503530421,12.3919690504971,12.3919690504971,12.3919690504971,"observed",-46.60861,"observed",2106.7352434671,108.999999999999,,,
82482,"Utah","2020-04-09",567,0,0,0,13,13,13,1.266268365821,1.266268365821,1.266268365821,13.6582374163181,13.6582374163181,13.6582374163181,"observed",-46.51998,"observed",2079.19490167952,121.000000000001,,,
82483,"Utah","2020-04-10",567,4,4,4,17,17,17,1.3020119916639,1.3020119916639,1.3020119916639,14.960249407982,14.960249407982,14.960249407982,"observed",-46.42239,"observed",2092.43317448945,127,,,
82484,"Utah","2020-04-11",567,1,1,1,18,18,18,1.3328749440535,1.3328749440535,1.3328749440535,16.2931243520355,16.2931243520355,16.2931243520355,"observed",-46.30967,"observed",2151.3460781701,104,,,
82485,"Utah","2020-04-12",567,0,0,0,18,18,18,1.3596894392372,1.3596894392372,1.3596894392372,17.6528137912727,17.6528137912727,17.6528137912727,"observed",-46.16565,"observed",2254.99144805204,95.9999999999995,,,
82486,"Utah","2020-04-13",567,0,0,0,18,18,18,1.3833672288035,1.3833672288035,1.3833672288035,19.0361810200762,19.0361810200762,19.0361810200762,"observed",-45.96827,"observed",2397.32233273925,59.9999999999991,,,
82487,"Utah","2020-04-14",567,0,0,0,18,18,18,1.4048506210566,1.4048506210566,1.4048506210566,20.4410316411328,20.4410316411328,20.4410316411328,"observed",-45.70227,"observed",2568.78191727809,54.0000000000014,,,
82488,"Utah","2020-04-15",567,2,2,2,20,20,20,1.4250896570661,1.4250896570661,1.4250896570661,21.8661212981989,21.8661212981989,21.8661212981989,"observed",-45.36147,"observed",2758.70036023615,131,,,
82489,"Utah","2020-04-16",567,0,0,0,20,20,20,1.4449396661001,1.4449396661001,1.4449396661001,23.311060964299,23.311060964299,23.311060964299,"observed",-44.94754,"observed",2957.70122320775,134.999999999999,,,
