county,pop,persons per household,persons 65 and over,households w computers,households w Internet,persons w out health ins,median household income,persons in poverty,pop per sq mile
Union NC,239859,2.99,0.13,0.933,0.892,0.123,75397,0.07,318.7
Surry NC,71783,2.45,0.208,0.773,0.626,0.152,41068,0.16,138.4
Stokes NC,45591,2.35,0.218,0.801,0.675,0.124,46169,0.121,105.6
Allen OH,102351,2.46,0.181,0.863,0.779,0.074,50552,0.144,264.2
Cass ND,181923,2.28,0.125,0.917,0.84,0.072,62031,0.104,84.9
Burleigh ND,95626,2.29,0.166,0.902,0.821,0.061,69719,0.074,49.8
Yadkin NC,37667,2.42,0.205,0.798,0.686,0.145,42876,0.13,114.7
Wilson NC,81801,2.48,0.187,0.822,0.737,0.147,42850,0.211,220.6
Wayne NC,123131,2.51,0.169,0.85,0.759,0.148,42192,0.202,221.7
Benton AR,279141,2.72,0.136,0.916,0.648,0.099,64141,0.086,261.2
Yuma AZ,213787,2.79,0.193,0.836,0.763,0.137,44058,0.195,35.5
Yavapai AZ,235099,2.29,0.325,0.897,0.801,0.151,50180,0.132,26.0
Santa Cruz AZ,46498,2.99,0.185,0.813,0.692,0.174,40467,0.244,38.3
Pinal AZ,462789,2.86,0.209,0.889,0.805,0.122,55550,0.129,70.0
Pima AZ,1047279,2.47,0.203,0.91,0.831,0.123,51037,0.162,106.7
Clermont OH,206428,2.61,0.169,0.908,0.836,0.07,64822,0.082,436.5
Clark OH,134083,2.40,0.197,0.866,0.793,0.085,48502,0.149,348.0
Butler OH,383134,2.65,0.151,0.906,0.844,0.068,63358,0.124,788.2
Belmont OH,67006,2.46,0.214,0.811,0.708,0.073,49361,0.13,132.3
Auglaize OH,45656,2.42,0.189,0.888,0.824,0.06,61758,0.069,114.5
Ashtabula OH,97241,2.51,0.196,0.812,0.741,0.095,44823,0.174,144.6
Erie OH,74266,2.36,0.226,0.873,0.789,0.064,52270,0.106,306.4
Delaware OH,209177,2.83,0.141,0.958,0.921,0.046,104322,0.041,393.2
Darke OH,51113,2.45,0.199,0.85,0.754,0.086,52691,0.095,88.5
Cuyahoga OH,1235072,2.27,0.186,0.856,0.771,0.074,48435,0.179,2800.0
Crawford OH,41494,2.34,0.214,0.835,0.755,0.075,42892,0.14,109.0
Columbiana OH,101883,2.39,0.212,0.843,0.753,0.09,46306,0.151,202.7
Hancock OH,75783,2.31,0.177,0.9,0.824,0.068,55644,0.099,140.7
Hamilton OH,817473,2.33,0.157,0.879,0.809,0.07,54976,0.154,1976.7
Greene OH,168937,2.40,0.175,0.912,0.847,0.064,67109,0.116,390.5
Geauga OH,93649,2.63,0.211,0.868,0.808,0.09,79956,0.057,233.4
Franklin OH,1316756,2.47,0.124,0.916,0.853,0.089,58762,0.155,2186.1
Fairfield OH,157574,2.69,0.161,0.902,0.832,0.064,66175,0.093,289.8
Lorain OH,309833,2.49,0.188,0.886,0.787,0.073,56965,0.142,613.6
Licking OH,176862,2.63,0.168,0.893,0.828,0.071,62715,0.091,243.9
Lake OH,230149,2.36,0.206,0.897,0.844,0.072,63475,0.075,1011.2
Huron OH,58266,2.51,0.176,0.868,0.771,0.085,51559,0.111,121.3
Holmes OH,43960,3.45,0.14,0.645,0.538,0.241,62111,0.094,100.3
Hardin OH,31365,2.54,0.163,0.824,0.734,0.08,48773,0.147,68.1
Muskingum OH,86215,2.46,0.182,0.846,0.761,0.078,45276,0.166,129.5
Montgomery OH,531687,2.30,0.183,0.877,0.807,0.084,49314,0.169,1159.5
Mercer OH,41172,2.50,0.182,0.881,0.814,0.063,59417,0.076,88.3
Medina OH,179746,2.58,0.185,0.924,0.866,0.051,74243,0.065,409.0
Mahoning OH,228683,2.29,0.214,0.846,0.769,0.071,44682,0.165,580.2
Lucas OH,428348,2.36,0.167,0.882,0.784,0.088,46924,0.187,1296.2
Summit OH,541013,2.37,0.185,0.873,0.8,0.073,55448,0.12,1312.6
Stark OH,370606,2.39,0.199,0.873,0.813,0.082,52190,0.144,652.9
Sandusky OH,58518,2.46,0.193,0.855,0.746,0.065,51701,0.1,149.2
Ross OH,76666,2.47,0.171,0.851,0.749,0.079,48403,0.184,113.3
Richland OH,121154,2.38,0.198,0.834,0.735,0.087,47346,0.144,251.3
Portage OH,162466,2.51,0.17,0.897,0.796,0.075,56618,0.113,331.2
Cleveland OK,284014,2.52,0.138,0.932,0.86,0.131,62863,0.119,474.7
Canadian OK,148306,3.01,0.133,0.924,0.85,0.13,71157,0.073,128.9
Wood OH,130817,2.44,0.157,0.917,0.831,0.064,59789,0.119,203.3
Warren OH,234602,2.68,0.149,0.939,0.903,0.054,83330,0.052,530.0
Tuscarawas OH,91987,2.48,0.2,0.823,0.73,0.093,51170,0.123,163.1
Trumbull OH,197974,2.30,0.221,0.827,0.74,0.083,45975,0.176,340.1
Muskogee OK,67997,2.50,0.171,0.812,0.653,0.19,42689,0.156,87.6
McCurtain OK,32832,2.54,0.186,0.678,0.568,0.214,35829,0.211,17.9
McClain OK,40474,2.71,0.157,0.896,0.826,0.155,64492,0.091,60.5
Grady OK,55834,2.72,0.167,0.86,0.676,0.147,58177,0.101,47.6
Creek OK,71522,2.64,0.182,0.833,0.75,0.156,49578,0.14,73.6
Comanche OK,120749,2.66,0.129,0.893,0.804,0.139,52227,0.167,116.1
Texas OK,19983,3.07,0.118,0.835,0.693,0.239,50450,0.127,10.1
Rogers OK,92459,2.60,0.167,0.912,0.783,0.142,62949,0.098,128.6
Pottawatomie OK,72592,2.65,0.166,0.849,0.707,0.155,47683,0.176,88.2
Payne OK,81784,2.41,0.13,0.897,0.796,0.163,40944,0.228,113.0
Osage OK,46963,2.53,0.206,0.834,0.689,0.157,47789,0.151,21.1
Oklahoma OK,797434,2.56,0.14,0.888,0.796,0.168,52855,0.169,1013.8
Lane OR,382067,2.39,0.199,0.922,0.829,0.094,49958,0.181,77.2
Jefferson OR,24658,2.81,0.198,0.875,0.774,0.12,50339,0.16,12.2
Deschutes OR,197692,2.47,0.205,0.946,0.854,0.081,63680,0.094,52.3
Clackamas OR,418187,2.59,0.188,0.935,0.873,0.066,76597,0.073,201.0
Wagoner OK,81289,2.70,0.168,0.921,0.85,0.152,61566,0.1,130.1
Tulsa OK,651552,2.53,0.148,0.898,0.818,0.157,53902,0.141,1058.1
Lincoln AR,13024,2.34,0.159,0.765,0.579,0.099,45166,0.275,25.2
Johnson AR,26578,2.60,0.169,0.789,0.65,0.13,37170,0.222,38.7
Garland AR,99386,2.41,0.243,0.866,0.76,0.104,43146,0.204,141.7
Faulkner AR,126007,2.67,0.129,0.89,0.765,0.08,51930,0.154,174.8
Crittenden AR,47955,2.58,0.145,0.798,0.715,0.084,39002,0.192,83.5
Craighead AR,110332,2.50,0.14,0.892,0.789,0.094,45868,0.179,136.4
Yamhill OR,107100,2.72,0.178,0.915,0.818,0.092,59484,0.122,138.6
Washington OR,601592,2.66,0.139,0.955,0.891,0.074,78010,0.088,731.4
Umatilla OR,77950,2.69,0.16,0.871,0.775,0.105,51887,0.158,23.6
Multnomah OR,812855,2.42,0.139,0.93,0.861,0.081,64337,0.12,1704.9
Marion OR,347818,2.78,0.162,0.911,0.832,0.103,56097,0.145,266.7
Linn OR,129749,2.58,0.191,0.894,0.804,0.076,52097,0.127,50.9
Bucks PA,628270,2.60,0.192,0.918,0.876,0.052,86055,0.057,1034.7
Blair PA,121829,2.34,0.213,0.823,0.75,0.063,47969,0.144,241.7
Berks PA,421164,2.61,0.176,0.87,0.806,0.075,61522,0.114,480.4
Bedford PA,47888,2.45,0.234,0.778,0.708,0.074,49146,0.105,49.2
Allegheny PA,1216045,2.21,0.193,0.876,0.815,0.05,58383,0.117,1675.6
Adams PA,103009,2.50,0.211,0.867,0.783,0.071,64507,0.08,195.5
Clinton PA,38632,2.53,0.192,0.832,0.745,0.074,49234,0.123,44.2
Chester PA,524989,2.65,0.168,0.92,0.876,0.059,96726,0.067,664.7
Centre PA,162385,2.47,0.149,0.911,0.814,0.068,58055,0.181,138.7
Carbon PA,64182,2.45,0.217,0.853,0.771,0.062,53624,0.119,171.1
Cambria PA,130192,2.24,0.232,0.805,0.739,0.054,45901,0.147,208.7
Butler PA,187853,2.37,0.194,0.883,0.83,0.046,68472,0.087,233.1
Fayette PA,129274,2.34,0.217,0.793,0.722,0.062,44476,0.146,172.8
Erie PA,269728,2.39,0.186,0.868,0.789,0.06,49716,0.153,351.1
Delaware PA,566747,2.62,0.168,0.9,0.841,0.061,71539,0.088,3040.5
Dauphin PA,278299,2.39,0.174,0.868,0.794,0.068,58916,0.132,510.6
Cumberland PA,253370,2.37,0.188,0.891,0.828,0.06,68895,0.073,431.6
Columbia PA,64964,2.32,0.201,0.835,0.757,0.062,49889,0.123,139.3
Lehigh PA,369318,2.56,0.171,0.883,0.812,0.077,62178,0.12,1012.5
Lebanon PA,141793,2.54,0.199,0.85,0.782,0.083,59114,0.1,369.1
Lawrence PA,85512,2.31,0.225,0.828,0.747,0.061,48860,0.158,254.4
Lancaster PA,545724,2.63,0.184,0.856,0.766,0.121,63823,0.079,550.4
Lackawanna PA,209674,2.35,0.203,0.836,0.761,0.066,50875,0.142,467.1
Franklin PA,155027,2.52,0.201,0.844,0.771,0.089,59713,0.11,193.7
Northumberland PA,90843,2.25,0.218,0.785,0.704,0.069,47063,0.133,206.2
Northampton PA,305285,2.55,0.195,0.879,0.81,0.06,67565,0.102,805.4
Montgomery PA,830915,2.55,0.182,0.923,0.881,0.046,88166,0.059,1655.9
Monroe PA,170271,2.91,0.178,0.903,0.825,0.076,63931,0.123,279.2
Mercer PA,109424,2.29,0.222,0.831,0.763,0.069,48768,0.153,173.4
Luzerne PA,317417,2.39,0.202,0.827,0.746,0.065,51646,0.143,360.4
Washington PA,206865,2.40,0.21,0.86,0.796,0.047,61567,0.09,242.5
Union PA,44923,2.42,0.186,0.826,0.735,0.078,56026,0.126,142.2
Susquehanna PA,40328,2.37,0.243,0.864,0.784,0.076,53059,0.128,52.7
Schuylkill PA,141359,2.32,0.207,0.816,0.74,0.065,49190,0.13,190.4
Pike PA,55809,2.52,0.235,0.913,0.857,0.07,64247,0.103,105.3
Philadelphia PA,1584064,2.57,0.14,0.841,0.737,0.087,43744,0.243,11379.5
Barnwell SC,20866,2.55,0.189,0.75,0.605,0.119,36566,0.224,41.2
Anderson SC,202558,2.52,0.183,0.849,0.727,0.124,47906,0.146,261.6
Aiken SC,170872,2.46,0.199,0.868,0.755,0.126,50036,0.15,149.5
York PA,449058,2.54,0.18,0.872,0.786,0.065,63902,0.088,481.1
Westmoreland PA,348899,2.29,0.233,0.848,0.778,0.048,58866,0.092,355.4
Wayne PA,51361,2.54,0.246,0.854,0.771,0.075,54851,0.13,72.8
Clarendon SC,33745,2.44,0.242,0.767,0.642,0.146,37525,0.264,57.6
Chesterfield SC,45650,2.52,0.19,0.751,0.606,0.142,40033,0.209,58.5
Chester SC,32244,2.58,0.192,0.744,0.548,0.116,40080,0.182,57.1
Charleston SC,411406,2.45,0.17,0.906,0.767,0.109,61028,0.142,382.3
Berkeley SC,227907,2.74,0.142,0.911,0.804,0.12,59995,0.128,161.8
Beaufort SC,192122,2.51,0.28,0.927,0.847,0.143,63110,0.109,281.5
Florence SC,138293,2.60,0.174,0.823,0.713,0.123,45479,0.18,171.1
Fairfield SC,22347,2.49,0.224,0.74,0.524,0.122,36294,0.237,34.9
Dorchester SC,162809,2.82,0.145,0.904,0.798,0.107,61698,0.11,238.2
Dillon SC,30479,2.78,0.172,0.723,0.524,0.147,29362,0.321,79.2
Darlington SC,66618,2.48,0.195,0.753,0.656,0.125,36254,0.235,122.4
Colleton SC,37677,2.44,0.207,0.858,0.761,0.138,36276,0.2,36.8
Sebastian AR,127827,2.48,0.164,0.843,0.728,0.132,43240,0.156,236.4
Saline AR,122437,2.68,0.182,0.898,0.808,0.07,62152,0.097,148.0
Pulaski AR,391911,2.46,0.161,0.863,0.754,0.083,50093,0.167,503.8
Pope AR,64072,2.66,0.162,0.866,0.713,0.106,41914,0.16,76.0
Miller AR,43257,2.53,0.172,0.838,0.723,0.086,41903,0.219,69.5
Lonoke AR,73309,2.66,0.138,0.872,0.775,0.076,57509,0.119,88.7
Kershaw SC,66551,2.58,0.187,0.819,0.687,0.117,49392,0.145,84.9
Jasper SC,30073,2.74,0.201,0.771,0.64,0.205,41930,0.19,37.8
Horry SC,354081,2.46,0.251,0.902,0.814,0.172,48279,0.143,237.5
Greenwood SC,70811,2.49,0.189,0.812,0.703,0.137,40982,0.183,153.2
Greenville SC,523542,2.57,0.161,0.875,0.799,0.139,56789,0.111,574.7
Georgetown SC,62680,2.43,0.286,0.847,0.729,0.137,48071,0.196,73.9
Newberry SC,38440,2.47,0.203,0.762,0.633,0.144,42765,0.171,59.5
Marlboro SC,26118,2.52,0.186,0.708,0.562,0.13,34203,0.3,60.3
Marion SC,30657,2.72,0.207,0.706,0.48,0.137,33046,0.255,67.6
Lexington SC,298750,2.54,0.162,0.896,0.805,0.115,59593,0.125,375.4
Laurens SC,67493,2.54,0.188,0.808,0.679,0.143,41578,0.197,93.2
Lancaster SC,98012,2.68,0.214,0.853,0.759,0.123,55223,0.133,139.6
Spartanburg SC,319785,2.57,0.164,0.86,0.764,0.127,50179,0.136,351.9
Saluda SC,20473,2.77,0.203,0.75,0.646,0.191,44486,0.149,43.9
Richland SC,415759,2.51,0.132,0.915,0.799,0.109,53922,0.167,507.9
Pickens SC,126884,2.46,0.167,0.855,0.752,0.135,47024,0.166,240.2
Orangeburg SC,86175,2.60,0.204,0.761,0.633,0.127,36188,0.259,83.6
Oconee SC,79546,2.38,0.236,0.835,0.714,0.154,46056,0.144,118.6
Haakon SD,1899,2.25,0.253,0.765,0.576,0.108,37420,0.11,1.1
Brown SD,38839,2.31,0.179,0.853,0.772,0.105,56455,0.11,21.3
Beadle SD,18453,2.28,0.178,0.83,0.691,0.152,51700,0.129,13.8
York SC,280979,2.60,0.147,0.915,0.842,0.098,62431,0.098,332.2
Williamsburg SC,30368,2.43,0.217,0.68,0.488,0.121,32351,0.26,36.8
Sumter SC,106721,2.54,0.169,0.828,0.728,0.126,43792,0.187,161.6
Bradley TN,108110,2.55,0.173,0.844,0.763,0.136,48140,0.147,301.0
Blount TN,133088,2.52,0.206,0.867,0.77,0.114,54140,0.099,220.2
Bedford TN,49713,2.79,0.152,0.842,0.707,0.147,48945,0.144,95.1
Anderson TN,76978,2.45,0.203,0.834,0.762,0.116,49376,0.165,222.8
Yankton SD,22814,2.24,0.195,0.849,0.761,0.102,54694,0.11,43.1
Minnehaha SD,193134,2.41,0.135,0.903,0.816,0.098,60028,0.096,210.0
Dyer TN,37159,2.44,0.179,0.826,0.745,0.11,43762,0.184,74.8
Dickson TN,53948,2.70,0.167,0.8,0.71,0.127,50549,0.138,101.4
Davidson TN,694144,2.38,0.125,0.908,0.825,0.14,56507,0.154,1243.3
Cumberland TN,60520,2.28,0.312,0.836,0.752,0.127,43893,0.144,82.3
Coffee TN,56520,2.49,0.174,0.856,0.686,0.116,47998,0.159,123.1
Cheatham TN,40667,2.65,0.155,0.864,0.782,0.117,58641,0.103,129.3
Knox TN,470313,2.43,0.162,0.891,0.806,0.103,54437,0.132,850.5
Hamilton TN,367804,2.46,0.179,0.86,0.779,0.119,53035,0.13,620.3
Hamblen TN,64934,2.58,0.185,0.809,0.708,0.144,42589,0.171,388.0
Greene TN,69069,2.45,0.221,0.794,0.683,0.126,40138,0.151,110.6
Gibson TN,49133,2.50,0.183,0.817,0.701,0.111,41886,0.165,82.4
Fayette TN,41133,2.54,0.221,0.828,0.719,0.099,59017,0.131,54.5
Montgomery TN,208993,2.74,0.095,0.912,0.839,0.088,55972,0.12,319.6
Monroe TN,46545,2.56,0.214,0.787,0.703,0.141,38327,0.157,70.0
Maury TN,96387,2.64,0.163,0.889,0.793,0.102,54249,0.108,132.0
Macon TN,24602,2.51,0.161,0.756,0.628,0.144,36246,0.181,72.4
Lawrence TN,44142,2.63,0.179,0.782,0.664,0.124,41553,0.177,67.8
Lauderdale TN,25633,2.41,0.163,0.799,0.677,0.126,37915,0.249,58.9
Washington TN,129375,2.30,0.188,0.872,0.797,0.107,46752,0.149,376.7
Shelby TN,937166,2.62,0.14,0.832,0.726,0.136,49782,0.217,1215.5
Sevier TN,98250,2.58,0.203,0.856,0.757,0.175,45943,0.139,151.7
Rutherford TN,332285,2.76,0.108,0.933,0.832,0.102,63846,0.104,424.0
Robertson TN,71813,2.69,0.154,0.871,0.8,0.122,61774,0.106,139.2
Putnam TN,80245,2.36,0.168,0.841,0.74,0.123,40888,0.145,180.3
Contra Costa CA,1153526,2.86,0.163,0.944,0.902,0.059,93712,0.078,1465.2
Alameda CA,1671329,2.81,0.143,0.936,0.875,0.05,92574,0.09,2043.6
Yell AR,21341,2.83,0.181,0.766,0.667,0.12,42361,0.163,23.9
Washington AR,239187,2.57,0.121,0.91,0.769,0.124,49629,0.152,215.6
