"V1","location_name","date","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
54261,"New Mexico","2020-06-15",5,5,5,440,440,440,4.71548428441599,4.71548428441599,4.71548428441599,449.725834762949,449.725834762949,449.725834762949,"observed",-20.1849500976272,"observed",4709.26609559871,121.999999999996,,,
54262,"New Mexico","2020-06-16",7,7,7,447,447,447,4.61308406456902,4.61308406456902,4.61308406456902,454.338918827518,454.338918827518,454.338918827518,"observed",-19.8705714555235,"observed",4744.14591539749,87.9999999999982,,,
54263,"New Mexico","2020-06-17",5,5,5,452,452,452,4.51560138854899,4.51560138854899,4.51560138854899,458.854520216067,458.854520216067,458.854520216067,"observed",-19.4934599684507,"observed",4765.38745195029,131.999999999998,,,
54264,"New Mexico","2020-06-18",4,4,4,456,456,456,4.42373878791602,4.42373878791602,4.42373878791602,463.278259003983,463.278259003983,463.278259003983,"observed",-19.0955018256372,"observed",4766.91610470553,88.0000000000073,,,
54265,"New Mexico","2020-06-19",8,8,8,464,464,464,4.33822814248902,4.33822814248902,4.33822814248902,467.616487146472,467.616487146472,467.616487146472,"observed",-18.7291403545164,"observed",4746.42693249241,106.999999999996,,,
54266,"New Mexico","2020-06-20",2,2,2,466,466,466,4.25975083979199,4.25975083979199,4.25975083979199,471.876237986264,471.876237986264,471.876237986264,"observed",-18.4467552606754,"observed",4705.80335549323,170.000000000002,,,
54267,"New Mexico","2020-06-21",3,3,3,469,469,469,4.18897269063297,4.18897269063297,4.18897269063297,476.065210676897,476.065210676897,476.065210676897,"observed",-18.2864052518826,"observed",4650.37489581201,134.999999999995,,,
54268,"New Mexico","2020-06-22",0,0,0,469,469,469,4.12657817460303,4.12657817460303,4.12657817460303,480.1917888515,480.1917888515,480.1917888515,"observed",-18.2508523876721,"observed",4587.32603300563,129.000000000007,,,
54269,"New Mexico","2020-06-23",7,7,7,476,476,476,4.07329238754602,4.07329238754602,4.07329238754602,484.265081239046,484.265081239046,484.265081239046,"observed",-18.3132098211814,"observed",4523.84870239949,143.999999999995,,,
54270,"New Mexico","2020-06-24",4,4,4,480,480,480,4.02989026095395,4.02989026095395,4.02989026095395,488.2949715,488.2949715,488.2949715,"observed",-18.4449781232674,"observed",4465.57934667259,152,,,
54271,"New Mexico","2020-06-25",5,5,5,485,485,485,3.99719531071804,3.99719531071804,3.99719531071804,492.292166810718,492.292166810718,492.292166810718,"observed",-18.6271523994357,"observed",4415.61843490412,201.999999999998,,,
54272,"New Mexico","2020-06-26",4,4,4,489,489,489,3.97607196343898,3.97607196343898,3.97607196343898,496.268238774157,496.268238774157,496.268238774157,"observed",-18.8482052267722,"observed",4374.30602399792,216.000000000007,,,
54273,"New Mexico","2020-06-27",2,2,2,491,491,491,3.96741670378901,3.96741670378901,3.96741670378901,500.235655477946,500.235655477946,500.235655477946,"projected",-18.8482052267722,"observed",4339.82966780759,210.999999999991,,,
54274,"New Mexico","2020-06-28",1,1,1,492,492,492,3.97129015074796,3.97129015074796,3.97129015074796,504.206945628694,504.206945628694,504.206945628694,"projected",-18.8482052267722,"observed",4309.54617187701,190.000000000004,,,
54275,"New Mexico","2020-06-29",1,1,1,493,493,493,3.97808147028201,3.97808147028201,3.97808147028201,508.185027098976,508.185027098976,508.185027098976,"projected",-18.8482052267722,,,173.000000000004,,,
54276,"New Mexico","2020-06-30",4,4,4,497,497,497,3.98486983402006,3.98486983402006,3.98486983402006,512.169896932996,512.169896932996,512.169896932996,"projected",-18.8482052267722,,,165.000000000004,,,
54277,"New Mexico","2020-07-01",3,3,3,500,500,500,3.99165010054196,3.99165010054196,3.99165010054196,516.161547033538,516.161547033538,516.161547033538,"projected",-18.8482052267722,,,128.999999999993,,,
