"V1","location_name","date","location_id","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
4913,"Arizona","2020-02-20",525,0,0,0,0,0,0,0.003741876191401,0.003741876191401,0.003741876191401,0.107001969755884,0.107001969755884,0.107001969755884,"observed",1.728161,"observed",1.21982648731137,0,,,
4914,"Arizona","2020-02-21",525,0,0,0,0,0,0,0.003619797973621,0.003619797973621,0.003619797973621,0.110621767729505,0.110621767729505,0.110621767729505,"observed",1.753469,"observed",1.27517951076415,0,,,
4915,"Arizona","2020-02-22",525,0,0,0,0,0,0,0.003523649200923,0.003523649200923,0.003523649200923,0.114145416930428,0.114145416930428,0.114145416930428,"observed",1.892337,"observed",1.33196954814698,0,,,
4916,"Arizona","2020-02-23",525,0,0,0,0,0,0,0.003456624896578,0.003456624896578,0.003456624896578,0.117602041827006,0.117602041827006,0.117602041827006,"observed",2.17046,"observed",1.3927269122552,0,,,
4917,"Arizona","2020-02-24",525,0,0,0,0,0,0,0.00342212614503801,0.00342212614503801,0.00342212614503801,0.121024167972044,0.121024167972044,0.121024167972044,"observed",2.53906,"observed",1.46285029561002,0,,,
4918,"Arizona","2020-02-25",525,0,0,0,0,0,0,0.003423692799468,0.003423692799468,0.003423692799468,0.124447860771512,0.124447860771512,0.124447860771512,"observed",2.911333,"observed",1.5517582908944,0,,,
4919,"Arizona","2020-02-26",525,0,0,0,0,0,0,0.00346567252384701,0.00346567252384701,0.00346567252384701,0.127913533295359,0.127913533295359,0.127913533295359,"observed",3.199292,"observed",1.6732408286556,0,,,
4920,"Arizona","2020-02-27",525,0,0,0,0,0,0,0.00355387071631499,0.00355387071631499,0.00355387071631499,0.131467404011674,0.131467404011674,0.131467404011674,"observed",3.340735,"observed",1.8445692291466,0,,,
4921,"Arizona","2020-02-28",525,0,0,0,0,0,0,0.00369592258224599,0.00369592258224599,0.00369592258224599,0.13516332659392,0.13516332659392,0.13516332659392,"observed",3.317548,"observed",2.08431602464085,0,,,
4922,"Arizona","2020-02-29",525,0,0,0,0,0,0,0.00390196043746599,0.00390196043746599,0.00390196043746599,0.139065287031386,0.139065287031386,0.139065287031386,"observed",3.147074,"observed",2.40921959138443,0,,,
4923,"Arizona","2020-03-01",525,0,0,0,0,0,0,0.00418601382386702,0.00418601382386702,0.00418601382386702,0.143251300855253,0.143251300855253,0.143251300855253,"observed",2.872883,"observed",2.83107672630803,0,,,
4924,"Arizona","2020-03-02",525,0,0,0,0,0,0,0.004567193122583,0.004567193122583,0.004567193122583,0.147818493977836,0.147818493977836,0.147818493977836,"observed",2.559185,"observed",3.35598551896199,0,,,
